"","COUNTRY","GENDER","CHILDREN","SPEND"
"1","USA","M",2,8500
"2","USA","F",1,23000
"3","USA","M",3,4000
"4","USA","M",2,9800
"5","AUS","F",2,2200
"6","USA","M",3,4800
"7","JAPAN","F",1,12300
"8","USA","M",0,8000
"9","AUS","F",1,7100
"10","USA","M",0,10000
"11","USA","M",1,7800
"12","AUS","F",2,7100
"13","JAPAN","F",2,7900
"14","JAPAN","F",1,7000
"15","USA","F",1,14200
"16","USA","M",1,11000
"17","USA","F",0,7900
"18","JAPAN","F",2,2300
"19","USA","M",1,7000
"20","AUS","M",2,8800
"21","AUS","F",4,7500
"22","USA","F",2,15300
"23","AUS","F",5,8000
"24","JAPAN","M",1,7900
